2024-12-09 05:58:17 | INFO | Saving logs to outputs/crossSinogramLpdUnet2D_1/20241209_0558_logs.log...
2024-12-09 05:58:18 | INFO | Cross_Sinogram_LPD_Unet2D model loaded successfully!
2024-12-09 05:58:18 | INFO | crossSinogramLpdUnet2D_1 - number of parameters: 22,459,858
2024-12-09 06:07:24 | DEBUG | 3/200 - batch 78/84 | VRAM: 33.02/47.53GB
2024-12-09 06:07:26 | DEBUG | 3/200 - batch 79/84 | VRAM: 33.02/47.53GB
2024-12-09 06:07:28 | DEBUG | 3/200 - batch 80/84 | VRAM: 33.02/47.53GB
2024-12-09 06:07:30 | DEBUG | 3/200 - batch 81/84 | VRAM: 33.02/47.53GB
2024-12-09 06:07:33 | DEBUG | 3/200 - batch 82/84 | VRAM: 33.02/47.53GB
2024-12-09 06:07:35 | DEBUG | 3/200 - batch 83/84 | VRAM: 33.02/47.53GB
2024-12-09 06:07:37 | DEBUG | 3/200 - batch 84/84 | VRAM: 33.02/47.53GB
2024-12-09 06:07:37 | INFO | 3/200 - loss 6.94e-01; PSNR 21.544; SSIM 0.585
2024-12-09 06:07:38 | DEBUG | 4/200 - batch 1/84 | VRAM: 33.02/47.53GB
2024-12-09 06:07:40 | DEBUG | 4/200 - batch 2/84 | VRAM: 33.02/47.53GB
2024-12-09 06:07:42 | DEBUG | 4/200 - batch 3/84 | VRAM: 33.02/47.53GB
2024-12-09 06:07:44 | DEBUG | 4/200 - batch 4/84 | VRAM: 33.02/47.53GB
2024-12-09 06:07:47 | DEBUG | 4/200 - batch 5/84 | VRAM: 33.02/47.53GB
2024-12-09 06:07:49 | DEBUG | 4/200 - batch 6/84 | VRAM: 33.02/47.53GB
